author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
[日] 上野千鹤子 / 邹韵 / 薛梅,https://book.douban.com/subject/34896921/,9787308197380, 281,58.00元,2020-3,浙江大学出版社,None,9.2,21740人,,父权制与资本主义
[日] 清水洁 / 曾玉婷,https://book.douban.com/subject/35776315/,9787549637317, 315,49.00元,2022-7,文汇出版社,None,9.0,30366人,,足利女童连续失踪事件
[美] 戴维·迈尔斯 / 张智勇 / 乐国安 / 侯玉波 等,https://book.douban.com/subject/1476651/,9787115138804, 504,68.00元,2006-1,人民邮电出版社,人们是如何思索、影响他人并与他人建立联系的,9.0,28991人,,社会心理学
[美] 欧·亨利,https://book.douban.com/subject/1051193/,9787806812297, 354,25.00元,2003-7,上海社会科学院出版社,日常的奇迹,8.7,79704人,,麦琪的礼物
福楼拜 / 李健吾,https://book.douban.com/subject/25897678/,9787020104499, 302,CNY 28.00,2003-1-1,人民文学出版社,None,9.1,34005人,,包法利夫人
[英]阿加莎·克里斯蒂 / 李杨,https://book.douban.com/subject/26292535/,9787513317153, 220,26.00,2015-2,新星出版社,None,9.2,21657人,,帷幕
鲁迅,https://book.douban.com/subject/1974029/,9787020058358, 302,16.00元,2006-12,人民文学出版社,None,9.6,14094人,,坟
[英] 威尔·贡培兹 / 王烁 / 王同乐,https://book.douban.com/subject/26854318/,9787549586646, 532,65.00元,2017-3,广西师范大学出版社,None,9.1,16587人,,现代艺术150年
龙应台,https://book.douban.com/subject/4207781/,9787108033635, 138,28.00元,2009-12-1,生活·读书·新知三联书店,我们现在怎样做母亲,8.7,82926人,,孩子你慢慢来
孙通海 译注 / 孙通海 译注,https://book.douban.com/subject/2046236/,9787101055207, 389,20.00元,2007-04,中华书局,野马也，尘埃也，生物之以息相吹也,9.4,13611人,,庄子
[日] 伊藤诗织 / 匡匡,https://book.douban.com/subject/30484795/,9787521702224, 223,48.00元,2019-4,雅众文化,None,8.9,26546人,,黑箱：日本之耻
[意] 伊塔洛·卡尔维诺 / 吴正仪,https://book.douban.com/subject/6789551/,9787544722797, 138,22.00元,2012-4,译林出版社,None,8.9,30088人,,不存在的骑士
[日] 芥川龙之介 / 林少华,https://book.douban.com/subject/3136271/,9787532744756, 189,12.00元,2008-7,上海译文出版社,人生，远比地狱更像地狱,8.7,75992人,,罗生门
[英] 劳伦斯·里斯 / 刘爽,https://book.douban.com/subject/26861418/,9787549585489, 324,79.00元,2016-9,广西师范大学出版社,None,9.5,12022人,,奥斯维辛
八月长安,https://book.douban.com/subject/24754316/,9787540462642, 560,55,2013-8-5,湖南文艺出版社,耿耿余淮,8.7,76260人,,最好的我们
刘瑜,https://book.douban.com/subject/4238362/,9787542631664, 339,25.00元,2010-1,上海三联书店,在这本书里，被“审视”的东西杂七杂八,8.6,146668人,,送你一颗子弹
孙立天,https://book.douban.com/subject/36794613/,9787100234245, 400,78,2024-3,商务印书馆,None,9.3,14164人,,康熙的红票
孙武 / 郭化若,https://book.douban.com/subject/1949420/,9787532544400, 175,20.00元,2006-7,上海古籍出版社,我国最古老最杰出的一部兵书,9.4,15417人,,孙子兵法
金庸,https://book.douban.com/subject/1070851/,9787108012692, 1335,47.00,1999-04,生活·读书·新知三联书店,不识张郎是张郎,8.7,66092人,,倚天屠龙记
罗贯中,https://book.douban.com/subject/1008357/,9787020008742, 1314,50.60元,1997-1,人民文学出版社,替天行道,8.7,85267人,,水浒传（全二册）
[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃,https://book.douban.com/subject/26357614/,9787532156825, 163,CNY 20.00,2015-6-1,上海文艺出版社,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,9.0,22821人,,海风中失落的血色馈赠
项飙,https://book.douban.com/subject/30116399/,9787807681885, 560,68.00元,2018-3,生活·读书·新知三联书店,None,9.4,11915人,,跨越边界的社区（修订版）
顾城,https://book.douban.com/subject/1033825/,9787020025862, 403,20.00,1998-12,人民文学出版社,None,8.8,27931人,,顾城的诗
[意] 卡洛·罗韦利 / 杨光,https://book.douban.com/subject/33424487/,9787571001636, 183,56.00元,2019-6,湖南科学技术出版社,None,8.9,24776人,,时间的秩序
[美] 安迪·威尔 / 陈灼,https://book.douban.com/subject/26586492/,9787544757225, 428,38.00,2015-10,译林出版社,None,8.9,22509人,,火星救援
[日] 东野圭吾 / 李盈春,https://book.douban.com/subject/25862578/,9787544270878, 291,39.50元,2014-5,南海出版公司,None,8.5,781070人,,解忧杂货店
[英] 斯蒂芬·韦斯塔比 / 高天羽 / 张思宇 审读,https://book.douban.com/subject/30277179/,9787559810779, 344,56,2022-4,广西师范大学出版社,None,9.1,14529人,,打开一颗心
[奥] 斯蒂芬·茨威格,https://book.douban.com/subject/2158684/,9787532741601, 387,23.00元,2007-7,上海译文出版社,纳粹法西斯对人心灵的折磨及摧残,9.1,14484人,,象棋的故事
八月长安,https://book.douban.com/subject/4166819/,9787510407109, 533,39.80元,2009-12,新世界出版社,原作名切题,8.7,52172人,,你好，旧时光（上 下）
[英] 道格拉斯·亚当斯,https://book.douban.com/subject/1394364/,9787536457577, 191,16.00元,2005-6,四川科学技术出版社,一场穿越银河的冒险,8.8,24091人,,银河系漫游指南
[英] 凯特·柯克帕特里克 / 刘海平,https://book.douban.com/subject/35317169/,9787521723427, 530,78.00元,2021-3,中信出版社,None,9.0,20799人,,成为波伏瓦
贾樟柯 / 万佳欢 编,https://book.douban.com/subject/27062726/,9787516812969, 296,49.00元,2017-6-1,台海出版社,None,9.1,15446人,,贾想 I
刘北成 / 杨远婴,https://book.douban.com/subject/1012307/,9787108017949, 377,21.80元,2003-1,生活·读书·新知三联书店,None,9.3,12427人,,规训与惩罚
[美] 欧文·斯通,https://book.douban.com/subject/3054821/,9787530209127, 525,29.80元,2008-4,北京十月文艺出版社,梵高悲惨而成就辉煌的人生,9.1,12423人,,渴望生活
[俄] 陀思妥耶夫斯基 / 荣如德,https://book.douban.com/subject/25887933/,9787532763719, 696,68.00,2015-1,上海译文出版社,None,9.3,15687人,,白痴
[奥地利] 弗朗茨·卡夫卡 / 彤雅立,https://book.douban.com/subject/35218475/,9787540245849, 84,45.00,2020-1-1,北京燕山出版社,None,9.2,22563人,,变形记
[意] 伊塔洛·卡尔维诺 / 吴正仪,https://book.douban.com/subject/10555486/,9787544722346, 104,20.00元,2012-4-1,译林出版社,None,8.8,33975人,,分成两半的子爵
[白俄] S. A. 阿列克谢耶维奇 / 吕宁思,https://book.douban.com/subject/26704403/,9787508658346, 592,55.00元,2016-1,中信出版社,None,8.9,28745人,,二手时间
龙应台,https://book.douban.com/subject/1426971/,9787806767245, 252,25.00元,2005-8,文汇出版社,中国人，你为什么不生气,8.7,36029人,,野火集
[美] 特德·姜 / 李克勤 / 王荣生 / 姚向辉,https://book.douban.com/subject/26295448/,9787544752473, 292,36.00元,2015-5,译林出版社,特德·姜科幻小说集,8.7,40263人,,你一生的故事
马伯庸,https://book.douban.com/subject/30414743/,9787540488475, 344,52.00元,2019-1,湖南文艺出版社,None,8.7,56577人,,显微镜下的大明
[英] 莎士比亚,https://book.douban.com/subject/1006197/,9787020035946, 125,7.00元,2001-1,人民文学出版社,生存还是毁灭，这是一个值得思考的问题,8.7,54289人,,哈姆莱特
刘胜利,https://book.douban.com/subject/1964774/,9787101054187, 191,9.80元,2006-12,中华书局,仁远乎哉？我欲仁，斯仁至矣,9.1,26561人,,论语
张爱玲,https://book.douban.com/subject/3017857/,9788781074519, 172,13.5元,2005-6,,一个小商人家庭出身的女子曹七巧的心灵变迁历程,8.7,67909人,,金锁记
[古希腊] 柏拉图 / 王太庆,https://book.douban.com/subject/21570668/,9787100094016, 84,12.00元,2013-1,商务印书馆,None,9.3,14037人,,会饮篇
江南,https://book.douban.com/subject/1321017/,9787801876942, 249,20.00元,2005-6,新世界出版社,乱世的英雄史诗,8.8,33131人,,九州·缥缈录
（清）沈复,https://book.douban.com/subject/1088581/,9787020028313, 80,38,1999-1,人民文学出版社,苟不记之笔墨，未免有辜彼苍之厚,8.7,75181人,,浮生六记
[德]赫尔曼·黑塞 / 赵登荣 / 倪诚恩,https://book.douban.com/subject/3131626/,9787532744800, 193,13.00,2008-7,上海译文出版社,“超现实主义”风格作品，德国的《尤利西斯》,9.0,26765人,,荒原狼
纳训,https://book.douban.com/subject/1035848/,9787020040346, 560,22.00,2003-01,人民文学出版社,阿拉伯地区的古代民间传说,8.8,63515人,,一千零一夜
三毛,https://book.douban.com/subject/2136140/,9787530208960, 294,28.00元,2007-7,北京十月文艺出版社,三毛少女时代的成长感受,8.8,59210人,,雨季不再来
[英] 阿加莎·克里斯蒂,https://book.douban.com/subject/1818347/,9787020056088, 345,22.00元,2006-5,人民文学出版社,阿加莎·克里斯蒂代表作,8.7,54566人,,尼罗河上的惨案
[英] 吉米·哈利,https://book.douban.com/subject/4187411/,9787507421774, 298,28.80,2010-1,中国城市出版社,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,8.9,24653人,,万物有灵且美
[日本] 岩井俊二,https://book.douban.com/subject/1080370/,9787201048161, 256,18.00元,2004-7,天津人民出版社,一场同名同姓的误会，两段可贵的爱情,8.6,113401人,,情书
老舍,https://book.douban.com/subject/1043815/,9787020028115, 224,12.00元,1962-10-1,人民文学出版社,旧中国老北京贫苦市民的典型命运,8.6,224643人,,骆驼祥子
曹禺,https://book.douban.com/subject/1013416/,9787020018567, 188,9.20,1999-05,人民文学出版社,一幕人生大悲剧，在一个雷雨夜爆发,8.7,84798人,,雷雨
[古希腊] 柏拉图 / 郭斌和 / 张竹明,https://book.douban.com/subject/1004821/,9787100017565, 458,28.00元,1986-8,商务印书馆,人类历史上最早的乌托邦,8.8,41199人,,理想国
卡罗琳·克里亚多·佩雷斯 / 詹涓,https://book.douban.com/subject/35942057/,9787513349611, 400,69.00元,2022-8,新星出版社,None,9.2,22454人,,看不见的女性
[法]安妮·埃尔诺 / 郭玉梅,https://book.douban.com/subject/36078195/,9787208178311, 79,38.00,2022-10,上海人民出版社,None,9.0,23272人,,一个女人的故事
[美] 罗兰·米勒 / 王伟平 / 彭凯平(审校),https://book.douban.com/subject/26585065/,9787115390578, 540,138.00元,2015-6,人民邮电出版社,None,9.2,31782人,,亲密关系（第6版）
刘慈欣,https://book.douban.com/subject/1192090/,9787536455382, 281,22.00元,2005-6,四川科学技术出版社,量子之外，没有真相,8.7,95806人,,球状闪电
吴楚材 / 吴调侯,https://book.douban.com/subject/1014561/,9787101000290, 527,21.00元,1987-1-1,中华书局,收录自先秦至明末的散文二百二十二篇,9.1,20370人,,古文观止
米兰·昆德拉 / 许钧,https://book.douban.com/subject/4920007/,9787532751655, 394,29.00元,2010-8,上海译文出版社,None,8.8,50699人,,不能承受的生命之轻
李娟,https://book.douban.com/subject/4884218/,9787222065413, 260,25.00元,2010-7,云南人民出版社,描写疆北阿勒泰地区生活和风情的原生态散文集,8.9,34494人,,我的阿勒泰
[日] 东野圭吾 / 娄美莲,https://book.douban.com/subject/26877752/,9787544285148, 268,39.50元,2016-11,南海出版公司,None,8.7,161741人,,恶意
莫言,https://book.douban.com/subject/35587028/,9787533966102, 584,69.90元,2021-11,浙江文艺出版社,None,8.9,62728人,,生死疲劳
三毛,https://book.douban.com/subject/1036490/,9787806399057, 215,13.80,2003-08,哈尔滨出版社,从遥远的撒哈拉到敦煌戈壁,8.9,48935人,,万水千山走遍
茅海建,https://book.douban.com/subject/25935941/,9787108050656, 592,59.00元,2014-10,生活·读书·新知三联书店,None,9.4,18454人,,天朝的崩溃
李沧东 / 春喜,https://book.douban.com/subject/35517022/,9787307223950, 314,58.00元,2021-8,武汉大学出版社,None,8.9,41480人,,鹿川有许多粪
[美国] 格里高里·曼昆,https://book.douban.com/subject/1028842/,9787111126768, 323；410,88.00元,2003-8,机械工业出版社,经济学家们的世界观,9.1,23877人,,经济学原理（上下）
李娟,https://book.douban.com/subject/4881850/,9787547010105, 280,25.00元,2010-6,万卷出版公司,白雪和阳光，青草和白桦林,9.1,24576人,,阿勒泰的角落
塔拉·韦斯特弗 / 任爱红,https://book.douban.com/subject/33440205/,9787544276986, 388,59.00元,2019-10,南海出版公司,我来自一个极少有人能想象的家庭，教育给了我新世界,8.7,221746人,,你当像鸟飞往你的山
张爱玲,https://book.douban.com/subject/10757938/,9787530211144, 345,29.60元,2012-6-1,北京十月文艺出版社,None,9.1,38809人,,半生缘
安徒生 / 叶君健,https://book.douban.com/subject/1765512/,10188-29, 150,0.43,1978年6月,上海译文出版社,None,9.2,28221人,,海的女儿
三浦紫苑 / 林佩瑾 / 李建铨 / 杨正敏,https://book.douban.com/subject/26210487/,9787549559671, 434,39.00元,2015-1-1,广西师范大学出版社,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,9.0,34537人,,强风吹拂
[俄] 陀思妥耶夫斯基 / 曾思艺,https://book.douban.com/subject/34990839/,9787533960414, 216,39.80元,2020-5,浙江文艺出版社,None,9.2,37118人,,地下室手记
[美] 约翰·威廉斯 / 杨向荣,https://book.douban.com/subject/26425831/,9787208130500, 340,49.00元,2016-1,上海人民出版社,即使不能拥有完美的生活，所幸追求过完整的自我,8.8,71080人,,斯通纳
刘和平,https://book.douban.com/subject/26925171/,9787536079113, 835,88.00元,2016-7,花城出版社,None,9.5,20478人,,大明王朝1566
金庸,https://book.douban.com/subject/1212893/,9787806553404, 1821,108.00元,2008-3,朗声图书,武侠的解构，流氓的狂欢,8.9,58231人,,鹿鼎记
严歌苓,https://book.douban.com/subject/6880158/,9787506360876, 415,35.00元,2011-10,作家出版社,翻手为苍凉，覆手为繁华,8.9,60860人,,陆犯焉识
莫言,https://book.douban.com/subject/26905337/,9787533946647, 418,56.00元,2017-1,浙江文艺出版社,None,9.2,43187人,,檀香刑
陳浩基,https://book.douban.com/subject/25897884/,9789573330806, 496,NT$350,2014-6-9,陳浩基作品,None,9.1,28781人,,13 67
汪曾祺,https://book.douban.com/subject/1253310/,9787539921969, 315,20.00元,2005-01,江苏文艺出版社,我就是要这样香，香得痛痛快快,9.2,37731人,,人间草木
[美]马里奥·普佐 / 周汉林,https://book.douban.com/subject/1092335/,9787805674278, 493,23.30元,1997-8,译林出版社,“教父三部曲”电影原著,9.0,42294人,,教父
[日] 清水洁 / 王华懋,https://book.douban.com/subject/35094680/,9787220118906, 328,45.00元,2021-2,四川人民出版社,None,9.0,60573人,,桶川跟踪狂杀人事件
李娟,https://book.douban.com/subject/27184303/,9787536084469, 258,38.00元,2017-11,花城出版社,None,9.1,46942人,,遥远的向日葵地
黄元吉,https://book.douban.com/subject/1059258/,9787224034813, 121,4.50元,1996-10,陕西人民出版社,中国历史上首部完整的哲学著作,9.5,22780人,,道德经
[美]洛莉·戈特利布 / 张含笑,https://book.douban.com/subject/35481512/,9787553522838, 460,68.00元,2021-7-28,上海文化出版社,None,9.0,61326人,,也许你该找个人聊聊
[英] 埃德温·A·艾勃特 / 鲁冬旭,https://book.douban.com/subject/35170896/,9787553520643, 216,39.80元,2020-8,上海文化出版社,None,9.2,35917人,,平面国
[美] 孔飞力 / 陈兼 / 刘昶,https://book.douban.com/subject/25912076/,9787542643216, 368,38.00元,2014-6,孔飞力著作集,None,9.2,40335人,,叫魂
木心 讲述 / 陈丹青 笔录,https://book.douban.com/subject/20440644/,9787549530816, 1102,98.00元,2013-1-10,广西师范大学出版社,木心留给世界的礼物,9.1,46445人,,文学回忆录
[德] 埃里希·玛丽亚·雷马克 / 姜乙,https://book.douban.com/subject/35272817/,9787532178377, 248,49,2021-1,上海文艺出版社,None,9.4,30341人,,西线无战事
萧冬连,https://book.douban.com/subject/26171466/,9787509763247, 246,45.00元,2014-10-1,社会科学文献出版社,None,9.5,24126人,,筚路维艰
金庸 / 有1996年11月北平第4次印本,https://book.douban.com/subject/1255624/,9787108006660, 1564,76.80元,1994-5,生活·读书·新知三联书店,至情至性，情大于武,8.9,106228人,,神雕侠侣
[日] 叶真中显 / 林佩瑾,https://book.douban.com/subject/35031587/,9787559641182, 440,58.00元,2020-7,北京联合出版公司,None,8.9,145465人,,绝叫
[日] 上野千鹤子 / [日] 铃木凉美 / 曹逸冰,https://book.douban.com/subject/35966120/,9787513349369, 304,59.00元,2022-9-20,新星出版社,None,9.0,84742人,,始于极限
[瑞典] 弗雷德里克·巴克曼 / 宁蒙,https://book.douban.com/subject/26672693/,9787541142185, 312,35.00元,2015-12,四川文艺出版社,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,9.1,80240人,,一个叫欧维的男人决定去死
毛泽东,https://book.douban.com/subject/1139360/,9787010009148, 340,40.00元,1991-6,人民出版社,None,9.6,37770人,,毛泽东选集
[美]张纯如（Iris Chang）,https://book.douban.com/subject/26545308/,9787508653389, 316,49.00元,2015-8,中信出版社,None,9.7,28494人,,南京大屠杀
[美] 艾萨克·阿西莫夫 / 崔正男,https://book.douban.com/subject/25829693/,9787539957173, 264,32.00元,2014-9,江苏凤凰文艺出版社,关于时间旅行的终极奥秘和恢宏构想,9.1,54037人,,永恒的终结
老舍,https://book.douban.com/subject/3183775/,9787530209226, 590,36.00元,2008-7,北京十月文艺出版社,北平沦陷时代广大平民的悲惨遭遇,9.4,47390人,,四世同堂
【英】奥尔德斯·赫胥黎 / 陈超,https://book.douban.com/subject/27002046/,9787532774685, 349,45.00元,2017-6,上海译文出版社,None,9.1,70887人,,美丽新世界
[英]毛姆 / 周煦良,https://book.douban.com/subject/2035162/,9787532741922, 318,18.00元,2007-3,上海译文出版社,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,9.0,101000人,,刀锋
[英] 阿加莎·克里斯蒂,https://book.douban.com/subject/3006581/,9787020065394, 254,19.00,2008-3,人民文学出版社,童谣杀人案,9.0,165953人,,无人生还
[意大利]伊塔洛·卡尔维诺 / 吴正仪,https://book.douban.com/subject/6789605/,9787544722803, 280,30.00元,2012-4-1,译林出版社,是不是真的只有先与人疏离，才能最终与他们在一起？,9.1,70456人,,树上的男爵
[美] 卡勒德·胡赛尼,https://book.douban.com/subject/1770782/,9787208061644, 362,29.00元,2006-5,上海人民出版社,为你，千千万万遍,8.9,823457人,,追风筝的人
黄肃秋 注释,https://book.douban.com/subject/1029553/,9787020008735, 1198,47.20元,2004-8,人民文学出版社,神魔皆有人情，精魅亦通世故,9.1,101223人,,西游记（全二册）
金庸,https://book.douban.com/subject/1044547/,9787108012586, 1263,47.00元,1999-04,生活·读书·新知三联书店,侠之大者，为国为民,9.1,91803人,,射雕英雄传
[英] 毛姆,https://book.douban.com/subject/1858513/,9787532739547, 275,15.00元,2006-8,上海译文出版社,有多少人会经历顿悟，就有更少的人甘愿自我放逐,9.0,223496人,,月亮和六便士
兰小欢,https://book.douban.com/subject/35546622/,9787208171336, 340,65.00元,2021-8,上海人民出版社,None,9.1,102909人,,置身事内
上野千鹤子 / 王兰,https://book.douban.com/subject/25836270/,9787542645715, 261,28.00元,2015-1,上海三联书店,None,9.1,94432人,,厌女
费孝通,https://book.douban.com/subject/1795079/,9787208062153, 426,38.00,2006-4,上海人民出版社,中国乡土社会传统文化和社会结构理论研究代表作,9.2,106346人,,乡土中国
鲁迅,https://book.douban.com/subject/1449348/,10019-1982, 162,0.37元,1973-3,人民文学出版社,路漫漫其修远兮，吾将上下而求索,9.3,74218人,,彷徨
陈忠实,https://book.douban.com/subject/10564071/,9787020090297, 697,39.00元,2012-9,人民文学出版社,一轴关于我们民族灵魂的现实主义画卷,9.2,125370人,,白鹿原
余华,https://book.douban.com/subject/4760224/,9787506365680, 264,24.00元,2012-9,作家出版社,None,9.2,198541人,,许三观卖血记
[法] 阿尔贝·加缪 / 柳鸣九,https://book.douban.com/subject/4908885/,9787532751471, 128,22.00元,2010-8,上海译文出版社,人生在世，永远也不该演戏作假,9.1,268819人,,局外人
史铁生,https://book.douban.com/subject/1209899/,9787531324362, 399,25.00元,2002-5,春风文艺出版社,这是你的罪孽与福祉,9.2,128973人,,我与地坛
[德] 赫尔曼·黑塞 / 姜乙,https://book.douban.com/subject/26980487/,9787201112695, 144,32.00元,2017-1,天津人民出版社,None,9.1,172922人,,悉达多
[英] 阿加莎·克里斯蒂 / 常禾,https://book.douban.com/subject/21371175/,9787513311236, 246,28.00元,2013-3,新星出版社,None,9.2,97387人,,罗杰疑案
王小波,https://book.douban.com/subject/1054685/,9787500627098, 555,27.00元,1997-10,中国青年出版社,沉默是沉默者的通行证,9.1,160474人,,沉默的大多数
林奕含,https://book.douban.com/subject/27614904/,9787559614636, 272,45.00元,2018-2,北京联合出版公司,向死而生的文学绝唱,9.2,418963人,,房思琪的初恋乐园
荣如德,https://book.douban.com/subject/2035179/,9787532741854, 119,10.00元,2007-3,上海译文出版社,太阳底下并无新事,9.3,179037人,,动物农场
[美国] 玛格丽特·米切尔 / 李美华,https://book.douban.com/subject/1068920/,9787806570920, 1235,40.00元,2000-9,译林出版社,革命时期的爱情，随风而逝,9.3,227127人,,飘
[哥伦比亚] 加西亚·马尔克斯,https://book.douban.com/subject/6082808/,9787544253994, 360,39.50元,2011-6,南海出版公司,魔幻现实主义文学代表作,9.3,469645人,,百年孤独
刘慈欣,https://book.douban.com/subject/6518605/,9787229042066, 1285,168.00元,2012-1,重庆出版社,地球往事三部曲,9.5,213468人,,三体全集
[英] 乔治·奥威尔,https://book.douban.com/subject/4820710/,9787530210291, 304,28.00,2010-4-1,北京十月文艺出版社,栗树荫下，我出卖你，你出卖我,9.4,309145人,,1984
J.K.罗琳 (J.K.Rowling) / 苏农 / 马爱农 / 马爱新,https://book.douban.com/subject/24531956/,9787020096695, 3104,498.00元,2008-12-1,人民文学出版社,从9¾站台开始的旅程,9.7,133057人,,哈利·波特
余华,https://book.douban.com/subject/4913064/,9787506365437, 191,28.00元,2012-8,作家出版社,生的苦难与伟大,9.4,907931人,,活着
[清] 曹雪芹 著 / 高鹗,https://book.douban.com/subject/1007305/,9787020002207, 1606,59.70元,1996-12,人民文学出版社,都云作者痴，谁解其中味？,9.7,459687人,,红楼梦
